,Calendar_years,Kenya,Tanzania,Bolivia_(Plurinational_State_of),Burundi,Cameroon,Costa_Rica,Cuba,Democratic_Republic_of_Congo,Ecuador,Haiti,Jamaica,Madagascar,Malawi,Mexico,Nicaragua,Panama,Papua_New_Guinea,Peru,Rwanda,Sri_Lanka,Zambia,Angola,Indonesia,Philippines,Thailand,Viet_Nam,Benin,Central_African_Republic,Congo,C̫te_d'Ivoire,Gabon,Ghana,Guinea,Nigeria,Sierra_Leone,Trinidad_&_Tobago
0,1990,60.57,40.82,51.78,58.02,32.29,58.49,171.43,,35.21,41.28,171.55,,84.87,79.56,,49.3,65.5,90.37,74.2,,89.75,,,,,,53.76,36.75,19.21,33.41,43.43,,34.37,70.52,26.17,62.59
1,1991,50.68,49.5,52.42,55.02,28.23,52.73,171.43,,36.18,23.99,227.42,,70.94,86.56,44.14,47.25,64.53,,50.38,,70.32,,,,,,22.9,36.64,18.55,32.27,43.58,,30.25,59.03,,62.59
2,1992,28.95,49.16,43.53,59.23,28.76,49.91,180.0,,29.08,8.75,182.51,,48.68,58.25,44.14,44.37,57.96,31.97,48.91,,34.96,,,55.74,,,24.01,33.93,19.75,31.76,51.52,,23.75,39.5,,69.29
3,1993,47.64,38.28,27.33,58.27,23.25,54.27,188.57,,27.66,14.49,255.54,,57.34,79.31,,51.77,84.92,32.44,45.21,,54.49,,115.53,54.2,,,,23.89,18.44,27.7,48.11,,27.47,36.08,,72.2
4,1994,152.61,62.16,79.92,60.68,88.32,81.36,203.53,,76.42,25.87,290.6,,92.41,157.91,,80.12,149.08,88.14,49.42,71.99,88.27,,173.51,99.62,,,,32.74,8.77,29.78,27.76,,61.33,51.55,,64.14
5,1995,140.17,86.76,76.99,56.69,85.26,88.23,188.6,51.12,173.3,36.3,284.24,87.35,125.3,162.79,,97.38,83.98,95.84,54.93,98.99,69.26,,,106.3,,,,57.19,27.28,59.4,40.92,,92.26,,,63.89
6,1996,110.04,62.53,57.18,51.97,80.95,92.78,188.57,68.04,141.13,28.14,332.11,94.72,95.66,123.44,,100.91,95.02,77.7,55.44,,81.47,,,76.31,,,,45.07,14.19,57.7,39.91,,,,,63.25
7,1997,184.0,118.52,100.07,52.79,43.64,98.26,188.57,85.05,167.92,29.37,286.78,58.74,108.75,136.12,,126.55,153.74,105.28,56.42,,121.89,,112.26,79.74,,,,38.36,,39.29,37.9,,,,,60.63
8,1998,179.9,90.7,131.09,52.22,66.83,92.66,188.57,63.14,110.6,30.95,215.45,50.35,101.52,101.69,,111.76,104.85,75.43,55.65,,130.83,,99.41,81.87,,,,37.86,,40.14,50.26,,,,,60.29
9,1999,105.19,65.88,98.71,46.57,88.41,79.55,188.57,,78.05,22.9,177.27,43.49,77.64,80.9,,,60.82,59.73,45.33,,119.7,,,64.89,,,,29.71,,38.81,59.01,,,,,79.23
10,2000,72.98,54.32,78.05,37.35,33.22,69.28,188.57,,65.97,22.49,208.44,155.83,57.6,64.08,,,49.28,53.86,34.08,,91.86,,68.41,37.04,,,,18.28,,23.85,51.11,,,,,
11,2001,69.4,34.86,,32.19,19.09,46.69,188.57,,27.28,,169.59,64.59,46.42,53.98,29.65,,32.97,34.77,23.26,,65.73,,53.61,49.36,,,,13.22,,,47.93,,,,,
12,2002,67.67,25.93,,29.17,24.56,46.74,188.57,,27.36,,237.6,72.5,39.79,45.08,30.15,,31.66,29.52,17.88,,60.01,,59.66,21.74,,,,11.94,,8.96,44.58,,,,,
13,2003,41.07,24.78,,24.88,35.27,52.99,168.93,,31.06,,185.62,86.58,39.62,64.02,34.42,,36.99,32.93,24.89,,52.97,,42.05,60.63,,,,18.06,,17.71,,,,,,
14,2004,71.01,26.37,,27.36,,64.87,70.18,,51.19,,185.42,46.82,51.68,90.78,40.87,,41.1,42.43,29.46,,64.44,,80.62,66.23,,,,20.17,,14.77,,,,,,
15,2005,,43.69,,42.93,,83.43,70.71,,91.62,,244.69,50.8,83.71,139.03,52.88,,62.26,71.94,46.25,,87.18,,117.04,80.0,,,,,,11.23,,,,,,
16,2006,,42.77,,63.45,,89.22,70.71,,92.45,,354.89,,84.58,85.5,58.66,,71.28,68.83,,,100.18,,107.52,61.51,,,,,,27.99,,,,,,
17,2007,,59.78,,80.35,80.19,98.64,47.14,,110.52,,343.06,,80.36,90.91,64.36,,76.69,85.44,,,106.45,,117.99,81.37,,,,45.34,,32.84,,,,,,
18,2008,,63.38,,86.19,79.13,106.17,70.71,,145.04,,348.48,,76.23,106.05,71.02,,111.78,92.39,,,126.7,,,95.52,,,,45.69,,51.86,,,,,,
19,2009,,,,85.68,66.05,106.88,70.71,,147.09,,295.97,,91.31,,71.02,,72.75,92.66,,,116.54,,,,,,,43.59,,37.52,91.96,,,,,
20,2010,,,,85.69,,139.86,70.71,,161.88,,286.82,,96.35,,78.54,,94.89,119.18,,,120.15,,,,,,,51.4,,22.49,82.58,,,,,
21,2011,,,,,,180.22,70.71,,227.21,,302.69,,,,91.03,,141.24,,,,84.79,,,,,,,72.72,,28.4,88.92,18.43,,,18.83,
22,2012,,,225.64,,,160.73,70.71,,183.9,,301.44,,,,60.84,,98.82,132.34,,,,57.02,,262.01,,84.47,,68.73,,46.29,88.9,17.72,,,31.87,
23,2013,,,201.97,,82.87,124.65,221.96,,122.24,,,,,,39.52,,61.99,98.53,,,,37.64,,,203.44,,,,,56.94,91.84,21.36,,,,
24,2014,,,239.25,,,130.77,235.71,,100.45,,,,,,71.85,,86.31,125.69,,,,54.61,,,113.33,,,,,56.97,91.89,15.94,,,,
25,2015,,,234.79,,,145.84,235.71,,,,,,,,,,66.52,104.29,,,,45.81,,,124.58,,,40.03,,49.87,77.07,24.12,,,,
26,2016,,,271.79,,,129.11,235.71,,,,,,,,,,57.5,78.84,,,,100.46,,,,,,30.74,,52.76,,38.48,,,,
27,2017,,,471.62,,,138.09,235.71,62.37,,,,,,,,,,,,,,159.48,,,,,,,,58.56,,40.89,,,,
28,2018,,,455.15,,70.79,,,62.37,,,,,,,,,,,,,,120.52,,,,,,,,61.97,,,,,,
