,Country,Missing_Rows
0,Viet Nam,28
1,Sri Lanka,27
2,Thailand,26
3,Sierra Leone,26
4,Benin,26
5,Nigeria,24
6,Sri Lanka.1,23
7,Guinea,23
8,Democratic Republic of Congo,23
9,Congo,22
10,Burundi.1,22
11,Angola,22
12,Ghana,22
13,Panama,20
14,Trinidad & Tobago,19
15,Madagascar,18
16,Haiti,18
17,Democratic Republic of Congo.1,17
18,Indonesia,17
19,Kenya,14
20,Rwanda,13
21,Nicaragua,13
22,Indonesia.1,11
23,Bolivia (Plurinational State of),11
24,Philippines,11
25,Madagascar.1,11
26,Mexico,10
27,Cameroon,10
28,Cameroon.1,10
29,Tanzania.1,10
30,Tanzania,10
31,Gabon,9
32,Malawi,8
33,Burundi,8
34,Zambia,7
35,Angola.1,6
36,Central African Republic,6
37,Jamaica,6
38,Philippines.1,5
39,Viet Nam.1,5
40,Ecuador,4
41,Peru,4
42,Ecuador.1,4
43,Thailand.1,3
44,Papua New Guinea.1,2
45,Papua New Guinea,2
46,Costa Rica,1
47,Cuba,1
48,C̫te d'Ivoire,1
