,Calendar years,Kenya,Bolivia (Plurinational State of),Costa Rica,Cuba,Haiti,Jamaica,Malawi,Mexico,Nicaragua,Panama,Peru,Rwanda,Zambia,Benin,Central African Republic,Congo,C̫te d'Ivoire,Gabon,Ghana,Guinea,Nigeria,Sierra Leone,Trinidad & Tobago
0,1990,60.57,51.78,58.49,171.43,41.28,171.55,84.87,79.56,,49.3,90.37,74.2,89.75,53.76,36.75,19.21,33.41,43.43,,34.37,70.52,26.17,62.59
1,1991,50.68,52.42,52.73,171.43,23.99,227.42,70.94,86.56,44.14,47.25,,50.38,70.32,22.9,36.64,18.55,32.27,43.58,,30.25,59.03,,62.59
2,1992,28.95,43.53,49.91,180.0,8.75,182.51,48.68,58.25,44.14,44.37,31.97,48.91,34.96,24.01,33.93,19.75,31.76,51.52,,23.75,39.5,,69.29
3,1993,47.64,27.33,54.27,188.57,14.49,255.54,57.34,79.31,,51.77,32.44,45.21,54.49,,23.89,18.44,27.7,48.11,,27.47,36.08,,72.2
4,1994,152.61,79.92,81.36,203.53,25.87,290.6,92.41,157.91,,80.12,88.14,49.42,88.27,,32.74,8.77,29.78,27.76,,61.33,51.55,,64.14
5,1995,140.17,76.99,88.23,188.6,36.3,284.24,125.3,162.79,,97.38,95.84,54.93,69.26,,57.19,27.28,59.4,40.92,,92.26,,,63.89
6,1996,110.04,57.18,92.78,188.57,28.14,332.11,95.66,123.44,,100.91,77.7,55.44,81.47,,45.07,14.19,57.7,39.91,,,,,63.25
7,1997,184.0,100.07,98.26,188.57,29.37,286.78,108.75,136.12,,126.55,105.28,56.42,121.89,,38.36,,39.29,37.9,,,,,60.63
8,1998,179.9,131.09,92.66,188.57,30.95,215.45,101.52,101.69,,111.76,75.43,55.65,130.83,,37.86,,40.14,50.26,,,,,60.29
9,1999,105.19,98.71,79.55,188.57,22.9,177.27,77.64,80.9,,,59.73,45.33,119.7,,29.71,,38.81,59.01,,,,,79.23
10,2000,72.98,78.05,69.28,188.57,22.49,208.44,57.6,64.08,,,53.86,34.08,91.86,,18.28,,23.85,51.11,,,,,
11,2001,69.4,,46.69,188.57,,169.59,46.42,53.98,29.65,,34.77,23.26,65.73,,13.22,,,47.93,,,,,
12,2002,67.67,,46.74,188.57,,237.6,39.79,45.08,30.15,,29.52,17.88,60.01,,11.94,,8.96,44.58,,,,,
13,2003,41.07,,52.99,168.93,,185.62,39.62,64.02,34.42,,32.93,24.89,52.97,,18.06,,17.71,,,,,,
14,2004,71.01,,64.87,70.18,,185.42,51.68,90.78,40.87,,42.43,29.46,64.44,,20.17,,14.77,,,,,,
15,2005,,,83.43,70.71,,244.69,83.71,139.03,52.88,,71.94,46.25,87.18,,,,11.23,,,,,,
16,2006,,,89.22,70.71,,354.89,84.58,85.5,58.66,,68.83,,100.18,,,,27.99,,,,,,
17,2007,,,98.64,47.14,,343.06,80.36,90.91,64.36,,85.44,,106.45,,45.34,,32.84,,,,,,
18,2008,,,106.17,70.71,,348.48,76.23,106.05,71.02,,92.39,,126.7,,45.69,,51.86,,,,,,
19,2009,,,106.88,70.71,,295.97,91.31,,71.02,,92.66,,116.54,,43.59,,37.52,91.96,,,,,
20,2010,,,139.86,70.71,,286.82,96.35,,78.54,,119.18,,120.15,,51.4,,22.49,82.58,,,,,
21,2011,,,180.22,70.71,,302.69,,,91.03,,,,84.79,,72.72,,28.4,88.92,18.43,,,18.83,
22,2012,,225.64,160.73,70.71,,301.44,,,60.84,,132.34,,,,68.73,,46.29,88.9,17.72,,,31.87,
23,2013,,201.97,124.65,221.96,,,,,39.52,,98.53,,,,,,56.94,91.84,21.36,,,,
24,2014,,239.25,130.77,235.71,,,,,71.85,,125.69,,,,,,56.97,91.89,15.94,,,,
25,2015,,234.79,145.84,235.71,,,,,,,104.29,,,,40.03,,49.87,77.07,24.12,,,,
26,2016,,271.79,129.11,235.71,,,,,,,78.84,,,,30.74,,52.76,,38.48,,,,
27,2017,,471.62,138.09,235.71,,,,,,,,,,,,,58.56,,40.89,,,,
28,2018,,455.15,,,,,,,,,,,,,,,61.97,,,,,,
