Calendar years,,European Union,   Austria,   Belgium,   Bulgaria,   Cyprus,   Czech Republic,   Denmark,   Finland,   France,   Germany,   Hungary,   Italy,   Latvia,   Lithuania,   Luxembourg,   Malta 1,   Netherlands,   Poland,   Portugal,   Slovakia,   Slovenia,   Spain,   Sweden,   United Kingdom 1,,Japan,Norway,Russian Federation,Switzerland,USA
1990,,,4.90,3.27,,2.83,,3.81,2.98,3.73,3.99,,5.31,,,,,3.03,,4.12,,,3.62,3.43,10.55,,10.26,3.31,,4.83,2.97
1991,,,4.57,2.92,,2.80,,3.67,2.72,3.43,3.84,,5.62,,,,,2.95,,4.27,,,3.50,3.29,10.41,,11.88,3.16,,4.36,2.81
1992,,,4.99,3.05,,2.87,,3.79,2.46,2.31,4.00,,5.86,,,,,3.13,,4.95,,,3.50,3.11,10.09,,12.62,3.12,,4.52,2.58
1993,,,4.97,2.78,,2.60,,3.48,1.94,2.03,3.62,,4.59,1.84,,,,2.80,,4.27,,,2.79,2.65,8.44,,14.57,2.46,,4.27,2.47
1994,,,4.58,3.42,,3.18,,4.45,2.73,2.40,4.18,3.88,4.68,2.21,,,,3.26,,4.38,,,2.76,3.79,11.36,,14.69,3.29,,4.50,3.40
1995,,,5.18,4.88,,4.26,,5.57,3.97,3.69,5.02,5.04,5.70,3.88,,,7.80,4.03,5.67,6.24,,,4.45,4.85,13.79,,17.72,4.54,,6.32,4.04
1996,,,5.42,4.04,,4.13,,4.81,3.22,3.30,4.17,4.62,5.92,4.18,,,11.95,3.65,4.37,5.92,,,4.18,3.96,13.35,,15.24,3.90,,5.43,3.43
1997,,,4.37,3.98,,4.04,4.31,4.96,3.50,2.76,4.03,3.89,5.45,4.58,4.74,,12.20,3.67,3.54,5.04,3.39,,3.57,4.35,14.90,,14.22,4.11,,4.79,4.11
1998,,,3.97,4.19,,4.61,5.10,4.92,3.42,2.78,4.04,3.75,5.53,4.91,4.75,,10.03,3.67,3.63,4.88,3.48,,3.62,4.41,15.42,,13.52,3.90,,5.04,3.77
1999,,,3.28,3.55,,4.39,3.91,3.93,2.60,2.55,3.42,3.44,5.16,4.20,4.34,4.95,9.23,3.11,3.19,4.65,2.86,4.72,3.23,3.51,14.33,,15.32,3.35,,4.82,3.43
2000,,,3.05,3.22,,3.58,3.36,3.45,2.29,2.15,2.83,2.72,4.44,3.97,3.62,4.23,8.40,2.81,2.81,3.95,2.44,3.56,2.69,3.03,12.91,,12.92,2.98,,4.09,3.45
2001,,,2.93,3.00,,3.58,2.91,3.19,1.98,1.99,2.63,2.59,4.33,3.28,3.25,4.07,8.03,2.55,2.57,3.87,2.26,3.05,2.54,2.54,11.85,,8.60,2.86,,4.09,3.09
2002,,,2.86,3.05,2.15,4.05,2.99,3.09,1.84,2.07,2.73,2.81,4.57,3.22,3.39,4.29,7.97,2.60,2.11,3.90,2.20,3.10,2.58,2.55,12.11,,8.13,3.09,,4.46,2.92
2003,,,3.18,3.60,2.68,4.92,3.10,3.57,2.13,2.50,3.18,3.15,5.47,3.35,3.79,5.28,9.49,3.20,2.12,4.61,2.47,3.74,3.00,2.94,13.34,,8.19,3.48,,5.12,2.92
2004,,,3.33,3.87,2.93,5.23,3.46,3.96,2.34,2.72,3.33,3.47,6.01,3.72,3.71,5.79,10.30,3.47,2.26,4.90,2.70,3.73,3.23,3.08,14.56,,8.75,3.84,,5.69,2.85
2005,,,3.77,4.10,2.92,5.28,3.79,4.28,2.84,2.75,4.06,3.71,6.13,3.93,3.78,6.04,10.36,3.75,2.56,4.88,2.79,3.72,3.22,2.99,14.74,,8.22,4.11,,5.86,3.26
2006,,,4.13,4.32,2.90,5.34,3.95,4.43,2.94,2.97,4.33,3.66,6.29,4.29,4.02,6.44,10.93,3.96,2.76,4.77,3.05,3.98,3.42,3.16,15.82,,8.16,3.89,,,3.20
2007,,,4.27,4.91,3.48,5.76,4.39,4.82,3.25,3.41,4.69,4.60,7.02,4.83,4.59,6.78,12.14,4.45,3.49,5.08,3.88,4.53,3.85,3.53,17.92,,8.09,4.47,,,3.47
2008,,,4.74,5.46,4.05,5.67,5.76,5.40,3.72,3.86,5.13,5.47,7.87,5.89,5.44,7.52,13.21,5.05,4.45,5.68,5.02,4.98,4.31,3.76,16.83,,8.32,4.69,,,
2009,,,6.95,5.26,3.84,5.53,5.16,5.29,3.51,3.79,4.75,4.97,7.68,6.10,5.16,7.29,12.96,4.70,3.49,5.30,5.08,4.77,4.16,3.55,15.99,,6.07,4.02,,5.30,3.67
2010,,,6.69,5.18,3.62,5.21,5.01,5.44,3.69,3.62,4.76,5.02,7.34,6.10,5.37,7.11,13.10,4.57,3.64,4.93,4.84,4.31,3.92,3.99,15.70,,6.39,4.48,7.03,6.59,3.91
2011,,,8.32,6.48,4.16,6.06,6.58,6.92,5.36,4.13,5.10,6.08,8.52,8.67,7.81,8.28,14.81,5.98,4.14,5.35,6.06,4.80,4.42,5.58,19.02,,7.35,5.78,7.75,,5.19
2012,,,8.38,6.20,3.44,6.36,7.13,6.72,4.80,3.92,4.74,6.07,8.49,8.08,7.09,7.90,14.15,5.83,4.16,5.69,6.71,4.48,4.47,5.20,19.20,,7.57,5.48,8.62,,5.68
2013,,,8.62,6.24,3.59,6.47,7.00,6.36,4.29,3.92,5.65,5.42,8.99,7.52,6.60,8.19,14.99,5.74,3.92,5.79,6.82,4.78,4.53,4.34,18.92,,6.05,5.05,8.69,,5.45
2014,,,8.63,,3.75,6.48,6.61,6.43,4.31,3.77,5.72,4.86,8.85,6.89,6.55,7.92,14.93,5.71,3.85,5.73,6.67,4.62,4.44,4.11,20.56,,5.68,7.50,7.65,,4.99
2015,,,7.44,,3.45,5.30,5.75,5.85,3.90,3.11,5.18,4.16,7.48,6.57,6.06,6.97,12.80,5.38,3.28,4.99,5.60,4.03,3.82,3.82,18.91,,5.60,5.81,6.43,,4.72
2016,,,5.64,,3.79,5.30,6.14,4.94,3.67,3.26,5.05,4.31,7.45,6.46,6.08,7.24,13.33,4.77,3.17,4.93,5.74,3.96,3.73,3.48,16.29,,6.21,5.56,6.65,,4.39
2017,,,6.22,,4.64,5.50,6.58,5.03,4.10,3.40,5.34,4.83,7.67,6.69,6.29,7.56,14.05,4.83,3.45,5.04,6.00,4.20,3.84,3.57,17.01,,5.95,5.63,7.84,,4.45
2018,,,6.63,,4.58,5.79,7.27,5.30,4.24,3.68,5.49,4.83,8.12,6.60,6.40,,15.15,4.68,3.75,5.36,6.38,,4.10,3.24,18.40,,5.80,5.75,7.38,,4.30